File:0
2,0,0
2,0,1
2,0,2
2,0,3
2,0,4
2,0,5
2,0,6
2,0,7
2,0,8
3,0,9
3,0,10
3,0,11
3,0,12
3,0,13
3,0,14
2,1,0
2,1,1
2,1,2
2,1,3
2,1,4
2,1,5
2,1,6
3,1,9
3,1,10
3,1,11
3,1,12
3,1,13
3,1,14
2,2,0
2,2,1
2,2,2
2,2,3
2,2,4
2,2,5
2,2,6
3,2,10
3,2,11
3,2,12
3,2,13
3,2,14
2,3,0
2,3,1
2,3,2
2,3,3
2,3,4
3,3,10
3,3,11
3,3,12
3,3,13
3,3,14
2,4,0
2,4,1
2,4,2
2,4,3
3,4,12
3,4,13
3,4,14
2,5,0
2,5,1
2,5,2
3,5,12
3,5,13
3,5,14
2,6,0
2,6,1
3,6,13
3,6,14
2,7,0
2,7,1
1,10,0
1,10,8
1,10,9
1,10,14
1,11,0
1,11,1
1,11,2
1,11,3
1,11,7
1,11,8
1,11,9
1,11,10
1,11,11
1,11,12
1,11,13
1,11,14
1,12,0
1,12,1
1,12,2
1,12,3
1,12,4
1,12,5
1,12,6
1,12,7
1,12,8
1,12,9
1,12,10
1,12,11
1,12,12
1,12,13
1,12,14
1,13,0
1,13,1
1,13,2
1,13,3
1,13,4
1,13,5
1,13,6
1,13,7
1,13,8
1,13,9
1,13,10
1,13,11
1,13,12
1,13,13
1,13,14
1,14,0
1,14,1
1,14,2
1,14,3
1,14,4
1,14,5
1,14,6
1,14,7
1,14,8
1,14,9
1,14,10
1,14,11
1,14,12
1,14,13
1,14,14
